Region,RegionName,RicBin,meanRic,EveBin,meanEve,meanResistance,meanRecovery,meanResilience,N
1,ZH/EPlateau/Zimmerberg,1,0.00120698854149743,1,0.673978109804294,-12.7477809317762,25.0844503712287,-0.49527641416676,9
1,ZH/EPlateau/Zimmerberg,1,0.00130127301243253,2,0.68267906439236,-24.6990908123902,75.6941213171482,-0.454950768561141,7
1,ZH/EPlateau/Zimmerberg,1,0.00113655165966907,3,0.6914311178092,-26.3982757813701,60.0354954544453,-5.01741027131655,19
1,ZH/EPlateau/Zimmerberg,1,0.00119896815215668,4,0.70150593986555,-23.8765089170511,55.8585582641142,-2.39087163162986,12
1,ZH/EPlateau/Zimmerberg,1,0.00129436533581485,5,0.712377487925303,-17.2597606398044,36.2335677071404,-3.38440418771577,14
1,ZH/EPlateau/Zimmerberg,1,0.00119449871184349,6,0.721511803715657,-16.7401693528491,37.9493135822216,-1.85851242587134,20
1,ZH/EPlateau/Zimmerberg,1,0.00120574962625163,7,0.73286003278129,-20.5735959036587,44.8992597303025,-4.80842463756999,36
1,ZH/EPlateau/Zimmerberg,1,0.00124292395621567,8,0.744608349129301,-16.6740907358774,29.8818498552538,-4.82561703707429,41
1,ZH/EPlateau/Zimmerberg,1,0.00122101431781525,9,0.753482895878792,-18.1035760771659,40.7701661531578,-3.00219967307466,61
1,ZH/EPlateau/Zimmerberg,1,0.00117781968741375,10,0.764563079593824,-17.0550974794431,29.5721408236514,-5.76536170057925,82
1,ZH/EPlateau/Zimmerberg,1,0.00121554727738965,11,0.774580759220668,-16.5964047925263,44.5465124764257,-3.03935128194275,73
1,ZH/EPlateau/Zimmerberg,1,0.00129861072757907,12,0.784568176087804,-12.4372483710828,22.4167344339216,-4.80556305059239,128
1,ZH/EPlateau/Zimmerberg,1,0.00127535628525418,13,0.79507589312418,-12.5840169776047,30.0569372387456,-3.56448252582493,162
1,ZH/EPlateau/Zimmerberg,1,0.00127248257677931,14,0.805098502899326,-8.47814695307868,24.506038176779,-3.38562402224948,161
1,ZH/EPlateau/Zimmerberg,1,0.00129687117187288,15,0.81577223314853,-3.97685836775763,16.6668836571699,-0.819856032812013,217
